"PMID","Title","PubDate"
15165820,"Comparative genomic analyses of frog virus 3, type species of the genus Ranavirus (family Iridoviridae).","2004-05-20"
16912294,"Genome of invertebrate iridescent virus type 3 (mosquito iridescent virus).","2006-09-NA"
11448171,"Analysis of the first complete DNA sequence of an invertebrate iridovirus: coding strategy of the genome of Chilo iridescent virus.","2001-07-20"
17239238,"Comparative genomic analysis of the family Iridoviridae: re-annotating and defining the core set of iridovirus genes.","2007-01-19"
20633916,"Frog virus 3 ORF 53R, a putative myristoylated membrane protein, is essential for virus replication in vitro.","2010-09-30"
2325203,"Multigene families in African swine fever virus: family 360.","1990-05-NA"
11831707,"Analysis of the complete nucleotide sequence of African swine fever virus.","1995-04-01"
32075923,"The African Swine Fever Virus Transcriptome.","2020-04-16"
15994557,"Genome of the host-cell transforming parasite Theileria annulata compared with T. parva.","2005-07-01"
1689460,"Characterisation of the gene encoding a 104-kilodalton microneme-rhoptry protein of Theileria parva.","1990-02-NA"
15994558,"Genome sequence of Theileria parva, a bovine pathogen that transforms lymphocytes.","2005-07-01"
12237421,"Genomic and phylogenetic analyses of an adenovirus isolated from a corn snake (Elaphe guttata) imply a common origin with members of the proposed new genus Atadenovirus.","2002-10-NA"
8310077,"Nucleotide sequence of a stamen- and tapetum-specific gene from Lycopersicon esculentum.","1993-04-NA"
14611657,"Odorant receptor expressed sequence tags demonstrate olfactory expression of over 400 genes, extensive alternate splicing and unequal expression levels.","2003-NA-NA"
15489334,"The status, quality, and expansion of the NIH full-length cDNA project: the Mammalian Gene Collection (MGC).","2004-10-NA"
11802173,"The olfactory receptor gene superfamily of the mouse.","2002-02-NA"
11875048,"Different evolutionary processes shaped the mouse and human olfactory receptor gene families.","2002-03-01"
8570653,"The chromosomal distribution of mouse odorant receptor genes.","1996-01-23"
35794473,"Biosynthesis of strychnine.","2022-07-NA"
2219721,"Genetic variation and multigene families in African swine fever virus.","1990-11-NA"
